2yillik_Bolumler_aciklamali
Sehir;Id;bolum_adi;Tur;Universite;Fakülte;Ogrenim_sekli;Ozellik;2025_Taban_Puan;2025_Taban_Sıralama;2025_Kontenjan;2025_Dolu_Kontenjan;2025_Bos_Kontenjan;2025_Kontenjan_Orani;2025_Sıralama_Degisim_Orani;2025_Ucret;2024_TabanPuani;2024_TabanSıralama;2024_Kontenjan;2024_Dolu_Kontenjan;2024_Bos_Kontenjan;2024_Kontenjan_Orani;2024_Ucret;Aciklama
Van;110290120;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Van Yüzüncü Yıl Ü.;Van Güvenlik Meslek Y.O.;Örgün;-;320,7168;628.400;30;30;0;%100,0;-56.570;-;317,0156;684.970;30;30;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
İstanbul;207650829;ACİL DURUM VE AFET YÖNETİMİ;Vakıf;Biruni Ü.;Meslek Y.O.;Burslu;-;317,6897;657.500;5;5;0;%100,0;-19.258;-;317,8145;676.758;5;5;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Ankara;101150977;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Ankara Ü.;Beypazarı Meslek Y.O.;Örgün;-;315,2013;682.400;70;70;0;%100,0;-83.028;-;309,6777;765.428;70;70;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
İstanbul;206552026;ACİL DURUM VE AFET YÖNETİMİ;Vakıf;Üsküdar Ü.;Sağlık Hizmetleri Meslek Y.O.;Burslu;-;314,9306;685.200;8;8;0;%100,0;-124;-;316,9835;685.324;7;7;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Muğla;107690154;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Muğla Sıtkı Koçman Ü.;Kavaklıdere Şehit Mustafa Alper Meslek Y.O.;Örgün;-;309,8706;738.500;45;45;0;%100,0;-81.108;-;305,0657;819.608;45;45;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Denizli;108690161;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Pamukkale Ü.;Serinhisar Meslek Y.O.;Örgün;-;307,4919;765.400;30;30;0;%100,0;-67.346;-;303,9859;832.746;30;30;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Amasya;100990026;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Amasya Ü.;Suluova Meslek Y.O.;Örgün;-;303,7752;806.600;40;40;0;%100,0;-94.730;-;298,5572;901.330;40;40;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Erzincan;103650657;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Erzincan Binali Yıldırım Ü.;Sağlık Hizmetleri Meslek Y.O.;Örgün;-;302,3986;822.900;50;50;0;%100,0;-101.420;-;296,8187;924.320;50;50;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Manisa;102590650;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Manisa Celâl Bayar Ü.;Gördes Meslek Y.O.;Örgün;-;300,9201;840.300;30;30;0;%100,0;-;-;-;Yeni;-;-;-;-;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Trabzon;112190144;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Trabzon Ü.;Şalpazarı Meslek Y.O.;Örgün;-;299,7606;854.300;30;30;0;%100,0;-42.236;-;298,9210;896.536;30;30;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Sinop;109190059;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Sinop Ü.;Türkeli Meslek Y.O.;Örgün;-;299,6898;855.200;40;40;0;%100,0;-116.969;-;293,2476;972.169;40;40;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Düzce;103390149;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Düzce Ü.;Kaynaşlı Meslek Y.O.;Örgün;-;299,2807;859.800;50;50;0;%100,0;-111.756;-;293,2947;"m
971.556";50;50;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Kütahya;103290214;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Kütahya Dumlupınar Ü.;Şaphane Meslek Y.O.;Örgün;-;294,9893;912.300;55;55;0;%100,0;-72.212;-;292,3424;984.512;55;55;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Burdur;107390189;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Burdur Mehmet Akif Ersoy Ü.;Altınyayla Mehmet Tuğrul Güvenlik Hizmetleri Meslek Y.O.;Örgün;-;293,5011;931.500;50;50;0;%100,0;-63.412;-;291,5887;994.912;50;50;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Artvin;101370272;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Artvin Çoruh Ü.;Artvin Meslek Y.O.;Örgün;-;292,4451;944.300;50;50;0;%100,0;-96.350;-;"o
288,3337";1.040.650;50;50;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Giresun;104590132;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Giresun Ü.;Espiye Meslek Y.O.;Örgün;-;292,1923;947.700;45;45;0;%100,0;-78.463;-;289,3568;1.026.163;45;45;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Gümüşhane;104790054;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Gümüşhane Ü.;Şiran Mustafa Beyaz Meslek Y.O.;Örgün;-;289,9069;977.300;40;40;0;%100,0;-109.700;"c
-";285,1074;1.087.000;40;40;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
Muş;107890030;ACİL DURUM VE AFET YÖNETİMİ;Devlet;Muş Alparslan Ü.;Bulanık Meslek Y.O.;Örgün;-;285,7870;1.031.000;50;50;0;%100,0;-62.463;-;284,6764;1.093.463;50;50;-;%100,0;-;Acil Durum ve Afet Yönetimi programı, afet müdahalesi, risk yönetimi ve kriz iletişimi konularında uzmanlık kazandırır.  Mezuniyet sonrası kamu kurumları, özel sektördeki güvenlik firmaları ve uluslararası yardım kuruluşlarında çalışabilirsiniz.  Yardımseverlik, problem çözme ve analitik düşünme yeteneğiniz varsa bu bölüm size uygundur
