Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
Ankara,104810398,AİLE VE TÜKETİCİ BİLİMLERİ,Devlet,Hacettepe Ü.,İktisadi ve İdari Bilimler Fak.,Örgün,-,"306,6972",306.400,55,55,0,"100,0%",-67.927,-,"296,4268",374.327,55,55,-,"100,0%",-
Uşak,109890110,ANTRENÖRLÜK EĞİTİMİ,Devlet,Uşak Ü.,Spor Bilimleri Fak.,Örgün,-,"266,0948",631.700,50,50,0,"100,0%",73.121,-,"274,3612",558.579,50,50,-,"100,0%",-
İstanbul,204890139,ANTROPOLOJİ,Vakıf,Özyeğin Ü.,Sosyal Bilimler Fak.,Burslu,İng.,"374,7534",67.500,10,10,0,"100,0%",-197.653,-,"314,0797",265.153,12,12,-,"100,0%",-
İstanbul,206110141,ANTROPOLOJİ,Vakıf,Yeditepe Ü.,Fen-Edebiyat Fak.,Burslu,İng.,"340,8970",153.200,10,10,0,"100,0%",-50.660,-,"327,0488",203.860,10,10,-,"100,0%",-
Ankara,104890265,ANTROPOLOJİ,Devlet,Hacettepe Ü.,Edebiyat Fak.,Örgün,-,"313,9458",266.200,45,45,0,"100,0%",-61.362,-,"303,4010",327.562,55,55,-,"100,0%",-
İstanbul,105610334,ANTROPOLOJİ,Devlet,İstanbul Ü.,Edebiyat Fak.,Örgün,-,"302,7739",330.200,50,50,0,"100,0%",-67.648,-,"293,1980","m
397.848",65,65,-,"100,0%",-
Ankara,101110033,ANTROPOLOJİ,Devlet,Ankara Ü.,Dil ve Tarih Coğrafya Fak.,Örgün,-,"300,0414",348.000,50,50,0,"100,0%",-41.781,-,"294,2973",389.781,55,55,-,"100,0%",-
Mardin,107110087,ANTROPOLOJİ,Devlet,Mardin Artuklu Ü.,Edebiyat Fak.,Örgün,-,"269,0993",601.600,25,25,0,"100,0%",157.606,-,"287,2724",443.994,25,25,-,"100,0%",-
Van,110210393,ANTROPOLOJİ,Devlet,Van Yüzüncü Yıl Ü.,Edebiyat Fak.,Örgün,-,"252,1418",782.400,25,25,0,"100,0%",247.949,-,"o
276,9040",534.451,25,25,-,"100,0%",-
Burdur,107310182,ANTROPOLOJİ,Devlet,Burdur Mehmet Akif Ersoy Ü.,Fen-Edebiyat Fak.,Örgün,-,"234,5452",988.600,20,20,0,"100,0%",129.663,-,"247,8708",858.937,20,20,-,"100,0%",-
Hatay,107710478,ANTROPOLOJİ,Devlet,Hatay Mustafa Kemal Ü.,Fen-Edebiyat Fak.,Örgün,-,"223,0074",1.123.000,25,25,0,"100,0%",235.565,"c
-","245,6778",887.435,25,25,-,"100,0%",-
Çorum,105190173,ANTROPOLOJİ,Devlet,Hitit Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"212,4294",1.237.000,25,25,0,"100,0%",-39.770,-,"217,8789",1.276.770,25,25,-,"100,0%",-
Kırşehir,100610207,ANTROPOLOJİ,Devlet,Kırşehir Ahi Evran Ü.,Fen-Edebiyat Fak.,Örgün,-,"211,2125",1.250.000,35,35,0,"100,0%",".
-58.901",-,"215,5869",1.308.901,35,35,-,"100,0%",-
İstanbul,204890146,ANTROPOLOJİ,Vakıf,Özyeğin Ü.,Sosyal Bilimler Fak.,%50 İnd.,İng.,-,Dolmadı,7,6,1,"85,7%",-,₺692.500,-,Dolmadı,8,4,4,"50,0%",₺475.000
İstanbul,206190329,ANTROPOLOJİ,Vakıf,Yeditepe Ü.,Fen-Edebiyat Fak.,%50 İnd.,İng.,-,Dolmadı,8,3,5,"m
37,5%",-,₺563.750,-,Dolmadı,8,7,1,"87,5%",₺319.000
Ankara,202110911,ARKEOLOJİ,Vakıf,İhsan Doğramacı Bilkent Ü.,İnsani Bilimler ve Edebiyat Fak.,Burslu,İng.,"396,2825",34.300,"l
4",4,0,"100,0%",25.261,-,"434,3843",9.039,4,4,-,"100,0%",-
Ankara,101110051,ARKEOLOJİ,Devlet,Ankara Ü.,Dil ve Tarih Coğrafya Fak.,Örgün,İng.,"327,2340",204.300,25,25,0,"100,0%",-10.901,-,"324,4276",215.201,25,25,-,"100,0%",-
Ankara,104810053,ARKEOLOJİ,Devlet,Hacettepe Ü.,Edebiyat Fak.,Örgün,-,"318,5930","a
242.800",30,30,0,"100,0%",-23.873,-,"313,7853",266.673,30,30,-,"100,0%",-
İstanbul,107510011,ARKEOLOJİ,Devlet,Mimar Sinan Güzel Sanatlar Ü.,Fen-Edebiyat Fak.,Örgün,-,"318,0008",245.700,30,30,0,"100,0%",-27.118,-,"312,6531",272.818,30,30,-,"100,0%",-
Antalya,100710048,ARKEOLOJİ,Devlet,Akdeniz Ü.,Edebiyat Fak.,Örgün,-,"s
296,5878",371.200,30,30,0,"100,0%",-50.462,-,"290,0886",421.662,30,30,-,"100,0%",-
Ankara,111711613,ARKEOLOJİ,Devlet,Ankara Hacı Bayram Veli Ü.,Edebiyat Fak.,Örgün,-,"287,2095",440.500,30,30,0,"100,0%",-36.306,-,"283,3105",476.806,30,30,-,"100,0%",-
Eskişehir,101010025,ARKEOLOJİ,Devlet,Anadolu Ü.,Edebiyat Fak.,Örgün,"n
-","286,6508",445.100,30,30,0,"100,0%",-52.059,-,"280,9773",497.159,30,30,-,"100,0%",-
İzmir,103110212,ARKEOLOJİ,Devlet,Dokuz Eylül Ü.,Edebiyat Fak.,Örgün,-,"286,5863",445.600,30,30,0,"100,0%",-31.337,-,"283,2953",476.937,30,30,-,"100,0%",-
Bursa,109710472,ARKEOLOJİ,Devlet,Bursa Uludağ Ü.,Fen-Edebiyat Fak.,"u
Örgün",-,"285,9423",450.600,30,30,0,"100,0%",-80.558,-,"277,2525",531.158,30,30,-,"100,0%",-
Kocaeli,106910082,ARKEOLOJİ,Devlet,Kocaeli Ü.,Fen-Edebiyat Fak.,Örgün,-,"272,2673",571.000,30,30,0,"100,0%",-55.085,-,"267,6468",626.085,30,30,-,"100,0%",-
Ankara,202110841,ARKEOLOJİ,Vakıf,İhsan Doğramacı Bilkent Ü.,".
İnsani Bilimler ve Edebiyat Fak.",%50 İnd.,İng.,"270,6876",586.000,10,10,0,"100,0%",257.648,₺475.000,"303,2781",328.352,10,10,-,"100,0%",₺310.000
Adana,102910613,ARKEOLOJİ,Devlet,Çukurova Ü.,Fen-Edebiyat Fak.,Örgün,-,"269,1536",601.100,25,25,0,"100,0%",-50.673,-,"265,2164",651.773,30,30,-,"100,0%",-
Çanakkale,102710139,ARKEOLOJİ,Devlet,Çanakkale Onsekiz Mart Ü.,"w
İnsan ve Toplum Bilimleri Fak.",Örgün,-,"267,2053",620.400,30,30,0,"100,0%",-61.875,-,"262,4645",682.275,30,30,-,"100,0%",-
İzmir,111110065,ARKEOLOJİ,Devlet,İzmir Demokrasi Ü.,Fen-Edebiyat Fak.,Örgün,-,"266,4879",627.700,30,30,0,"100,0%",-61.023,-,"261,9018",688.723,30,30,-,"100,0%",-
Muğla,107610082,ARKEOLOJİ,Devlet,Muğla Sıtkı Koçman Ü.,Edebiyat Fak.,Örgün,-,"265,0004",643.000,30,30,0,"100,0%",-56.914,-,"260,9109",699.914,30,30,-,"100,0%",-
Denizli,108610088,ARKEOLOJİ,Devlet,Pamukkale Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"262,9904",664.000,30,30,0,"100,0%",-18.128,-,"262,4764",682.128,30,30,-,"100,0%",-
Mersin,107410093,ARKEOLOJİ,Devlet,Mersin Ü.,"w
İnsan ve Toplum Bilimleri Fak.",Örgün,-,"262,7537",666.500,30,30,0,"100,0%",-78.891,-,"256,9786",745.391,30,30,-,"100,0%",-
Gaziantep,104210014,ARKEOLOJİ,Devlet,Gaziantep Ü.,Fen-Edebiyat Fak.,Örgün,-,"260,6297",688.900,30,30,0,"100,0%",-38.463,-,"258,5372",727.363,30,30,-,"100,0%",-
Samsun,108210895,ARKEOLOJİ,Devlet,Ondokuz Mayıs Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"257,7848",719.500,30,30,0,"100,0%",-57.300,-,"254,4014",776.800,30,30,-,"100,0%",-
Manisa,102590440,ARKEOLOJİ,Devlet,"w
Manisa Celâl Bayar Ü.",İnsan ve Toplum Bilimleri Fak.,Örgün,-,"257,4269",723.500,25,25,0,"100,0%",-152.134,-,"246,5687",875.634,30,30,-,"100,0%",-
Aydın,100310052,ARKEOLOJİ,Devlet,Aydın Adnan Menderes Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"256,2257",736.700,30,30,0,"100,0%",-64.316,-,"252,4322",801.016,30,30,-,"100,0%",-
