0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ACİL YARDIM VE AFET YÖNETİMİ,,,,www.unsalim.com,,,,2025 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,SIRALAMA,,2025 ÜCRET,,2024 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,2024 ÜCRET
Lokasyon,Kodu,Ün.Türü,Üniversite Adı,Fakültesi & Yüksekokulu,Öğr.Şekli,Özelliği,.,Taban P.,Yk.Tab.S.,Kon.,Yer.,Boş,Dol.%,.,DEĞİŞİMİ,.,Bilgisi,.,Taban P.,Taban S.,Kon.,Yer.,Boş,Dol.%,.,Bilgisi
İstanbul,111091394,Devlet,Sağlık Bilimleri Ü.,Hamidiye Sağlık Bilimleri Fak.,Örgün,-,,"291,9081",340.300,30,30,0,"100,0%",,-16.810,,-,,"276,8222",357.110,30,30,-,"100,0%",,-
Çanakkale,102710387,Devlet,Çanakkale Onsekiz Mart Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"288,1330",356.500,30,30,0,"100,0%",,-21.067,,-,,"272,7190",377.567,30,30,-,"100,0%",,-
Tekirdağ,107990171,Devlet,Tekirdağ Namık Kemal Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"271,8979",438.500,30,30,0,"100,0%",,-41.717,,-,,"256,2985",480.217,30,30,-,"100,0%",,-
Malatya,111570357,Devlet,Malatya Turgut Özal Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"270,9678",444.000,30,30,0,"100,0%",,-37.393,,-,,"256,1440",481.393,30,30,-,"100,0%",,-
Konya,108990307,Devlet,Selçuk Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"266,4092",472.100,30,30,0,"100,0%",,-21.611,,-,,"254,5350",493.711,30,30,-,"100,0%",,-
Hatay,107710442,Devlet,Hatay Mustafa Kemal Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"266,1405",473.900,30,30,0,"100,0%",,-36.144,,-,,"252,4875",510.044,30,30,-,"100,0%",,-
Burdur,107310446,Devlet,Burdur Mehmet Akif Ersoy Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"262,9885",494.800,30,30,0,"100,0%",,-18.944,,-,,"252,0482",513.744,30,30,-,"100,0%",,-
Aksaray,100890057,Devlet,Aksaray Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"261,8306",502.800,30,30,0,"100,0%",,-15.945,,-,,"251,4566",518.745,30,30,-,"100,0%",,-
Trabzon,112190221,Devlet,Trabzon Ü.,Uygulamalı Bilimler Y.O.,Örgün,-,,"260,3852",513.100,30,30,0,"100,0%",,-54.688,,-,,"245,9686",567.788,30,30,-,"100,0%",,-
