Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
Düzce,103390230,ABAZA DİLİ VE EDEBİYATI,Devlet,Düzce Ü.,Fen-Edebiyat Fak.,Örgün,-,"213,2836",986.800,20,20,0,"100,0%",261.867,-,"262,8180",724.933,20,20,-,"100,0%",-
İstanbul,203910018,ARKEOLOJİ VE SANAT TARİHİ,Vakıf,Koç Ü.,İnsani Bilimler ve Edebiyat Fak.,Burslu,İng.,"476,4060",160,3,3,0,"100,0%",93,-,"520,0810",67,2,2,-,"100,0%",-
İstanbul,203910027,ARKEOLOJİ VE SANAT TARİHİ,Vakıf,Koç Ü.,İnsani Bilimler ve Edebiyat Fak.,%50 İnd.,İng.,"359,7468",41.400,7,7,0,"100,0%",-4.569,₺795.000,"389,6289",45.969,7,7,-,"100,0%",₺537.500
Gazimağusa,300190699,ARKEOLOJİ VE SANAT TARİHİ,Kıbrıs,Doğu Akdeniz Ü.,Fen ve Edebiyat Fak.,Burslu,-,"226,8689",877.100,10,10,0,"100,0%",-,-,-,Yeni,-,-,-,-,-
Gazimağusa,300190706,ARKEOLOJİ VE SANAT TARİHİ,Kıbrıs,Doğu Akdeniz Ü.,Fen ve Edebiyat Fak.,Ücretli,-,-,Dolmadı,20,1,19,"5,0%",-,₺380.226,-,Yeni,-,-,-,-,-
Kars,105910067,AZERBAYCAN TÜRKÇESİ VE EDEBİYATI,Devlet,Kafkas Ü.,Fen-Edebiyat Fak.,Örgün,-,"212,4332",993.000,45,45,0,"100,0%",-82.348,-,"229,3538","m
1.075.348",45,45,-,"100,0%",-
Girne,300210703,BASIN VE YAYIN,Kıbrıs,Girne Amerikan Ü.,İletişim Fak.,Burslu,-,"185,6993",1.137.000,5,5,0,"100,0%",42.859,-,"227,4258",1.094.141,8,8,-,"100,0%",-
Girne,300290553,BASIN VE YAYIN,Kıbrıs,Girne Amerikan Ü.,İletişim Fak.,%50 İnd.,-,-,Yer.Olmadı,5,0,5,"0,0%",-,"c
₺186.213",-,Dolmadı,11,3,8,"27,3%",₺100.275
İstanbul,105610113,COĞRAFYA,Devlet,İstanbul Ü.,Edebiyat Fak.,Örgün,-,"359,1209",42.300,50,50,0,"m
100,0%",-16.350,-,"382,1476",58.650,50,50,-,"100,0%",-
Ankara,101110087,COĞRAFYA,Devlet,Ankara Ü.,Dil ve Tarih Coğrafya Fak.,Örgün,-,"356,8452",45.700,50,50,0,"100,0%",-9.260,-,"384,2478",54.960,55,55,-,"100,0%",-
